nct_id,Type,Value,Action
NCT01872221,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01875601,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01884922,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01884987,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01887522,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01891747,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01892397,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01898273,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01902771,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01907165,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01920191,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01929720,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01931098,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01933815,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01944761,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01951950,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01952769,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01954030,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01954576,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01956734,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01957735,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01967758,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01967810,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01972750,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01975116,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01975701,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01987596,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
NCT01988675,Tag,GBM Prior Therapy_Gliadel_Allowed,Removed
