nct_id,Type,Value,Action
NCT03197506,Tag,Musella Foundation,Remove
NCT03190967,Tag,Musella Foundation,Remove
NCT00207350,Tag,Musella Foundation,Remove
NCT01283542,Tag,Musella Foundation,Remove
NCT01402063,Tag,Musella Foundation,Remove
NCT01403610,Tag,Musella Foundation,Remove
NCT01443676,Tag,Musella Foundation,Remove
NCT02731521,Tag,Musella Foundation,Remove
NCT02698254,Tag,Musella Foundation,Remove
NCT01240161,Tag,Musella Foundation,Remove
NCT01621542,Tag,Musella Foundation,Remove
NCT00890032,Tag,Musella Foundation,Remove
NCT02717455,Tag,Musella Foundation,Remove
NCT01257594,Tag,Musella Foundation,Remove
NCT01887522,Tag,Musella Foundation,Remove
NCT02279992,Tag,Musella Foundation,Remove
NCT02747303,Tag,Musella Foundation,Remove
NCT01502917,Tag,Musella Foundation,Remove
NCT01621295,Tag,Musella Foundation,Remove
NCT01582269,Tag,Musella Foundation,Remove
NCT03257735,Tag,Musella Foundation,Remove
NCT03258021,Tag,Musella Foundation,Remove
NCT01637753,Tag,Musella Foundation,Remove
NCT01380782,Tag,Musella Foundation,Remove
NCT01721577,Tag,Musella Foundation,Remove
NCT01614132,Tag,Musella Foundation,Remove
NCT01266031,Tag,Musella Foundation,Remove
NCT01209442,Tag,Musella Foundation,Remove
NCT03274037,Tag,Musella Foundation,Remove
NCT01812603,Tag,Musella Foundation,Remove
NCT03458676,Tag,Musella Foundation,Remove
NCT01892397,Tag,Musella Foundation,Remove
NCT01351519,Tag,Musella Foundation,Remove
NCT01497860,Tag,Musella Foundation,Remove
NCT02798029,Tag,Musella Foundation,Remove
NCT01989884,Tag,Musella Foundation,Remove
NCT03071874,Tag,Musella Foundation,Remove
NCT01390948,Tag,Musella Foundation,Remove
NCT01880749,Tag,Musella Foundation,Remove
NCT02833701,Tag,Musella Foundation,Remove
NCT01985087,Tag,Musella Foundation,Remove
NCT01358058,Tag,Musella Foundation,Remove
NCT02000882,Tag,Musella Foundation,Remove
NCT01535898,Tag,Musella Foundation,Remove
NCT01648348,Tag,Musella Foundation,Remove
NCT01494662,Tag,Musella Foundation,Remove
NCT01393912,Tag,Musella Foundation,Remove
NCT02444546,Tag,Musella Foundation,Remove
NCT01881386,Tag,Musella Foundation,Remove
NCT02575027,Tag,Musella Foundation,Remove
NCT02850744,Tag,Musella Foundation,Remove
NCT02048059,Tag,Musella Foundation,Remove
NCT02454634,Tag,Musella Foundation,Remove
NCT02052648,Tag,Musella Foundation,Remove
NCT01890278,Tag,Musella Foundation,Remove
NCT01908179,Tag,Musella Foundation,Remove
NCT03243851,Tag,Musella Foundation,Remove
NCT01535430,Tag,Musella Foundation,Remove
NCT01177397,Tag,Musella Foundation,Remove
NCT03067753,Tag,Musella Foundation,Remove
NCT01903330,Tag,Musella Foundation,Remove
NCT03019471,Tag,Musella Foundation,Remove
NCT02026271,Tag,Musella Foundation,Remove
NCT03387020,Tag,Musella Foundation,Remove
NCT00054496,Tag,Musella Foundation,Remove
NCT02864368,Tag,Musella Foundation,Remove
NCT00001686,Tag,Musella Foundation,Remove
NCT00002647,Tag,Musella Foundation,Remove
NCT03389802,Tag,Musella Foundation,Remove
NCT02886585,Tag,Musella Foundation,Remove
NCT00461188,Tag,Musella Foundation,Remove
NCT02880410,Tag,Musella Foundation,Remove
NCT02885272,Tag,Musella Foundation,Remove
NCT01445483,Tag,Musella Foundation,Remove
NCT01954576,Tag,Musella Foundation,Remove
NCT01931098,Tag,Musella Foundation,Remove
NCT01442220,Tag,Musella Foundation,Remove
NCT02896335,Tag,Musella Foundation,Remove
NCT02898727,Tag,Musella Foundation,Remove
NCT00647049,Tag,Musella Foundation,Remove
NCT00598949,Tag,Musella Foundation,Remove
NCT02202993,Tag,Musella Foundation,Remove
NCT00798057,Tag,Musella Foundation,Remove
NCT03055208,Tag,Musella Foundation,Remove
NCT01125800,Tag,Musella Foundation,Remove
NCT00822458,Tag,Musella Foundation,Remove
NCT00946673,Tag,Musella Foundation,Remove
NCT00551122,Tag,Musella Foundation,Remove
NCT00852501,Tag,Musella Foundation,Remove
NCT00928226,Tag,Musella Foundation,Remove
NCT01774253,Tag,Musella Foundation,Remove
NCT00935090,Tag,Musella Foundation,Remove
NCT00897286,Tag,Musella Foundation,Remove
NCT00939523,Tag,Musella Foundation,Remove
NCT02038348,Tag,Musella Foundation,Remove
