nct_id,Type,Value,Action
NCT01787539,WF_StoCAN1,Needs Review,Add
NCT01815853,WF_StoCAN1,Needs Review,Add
NCT01882933,WF_StoCAN1,Needs Review,Add
NCT01889303,WF_StoCAN1,Needs Review,Add
NCT01917552,WF_StoCAN1,Needs Review,Add
NCT01924819,WF_StoCAN1,Needs Review,Add
NCT01935778,WF_StoCAN1,Needs Review,Add
NCT01938326,WF_StoCAN1,Needs Review,Add
NCT01946854,WF_StoCAN1,Needs Review,Add
NCT01978444,WF_StoCAN1,Needs Review,Add
NCT01991379,WF_StoCAN1,Needs Review,Add
NCT01996059,WF_StoCAN1,Needs Review,Add
NCT02013154,WF_StoCAN1,Needs Review,Add
NCT02023593,WF_StoCAN1,Needs Review,Add
NCT02027948,WF_StoCAN1,Needs Review,Add
NCT02037048,WF_StoCAN1,Needs Review,Add
NCT02047994,WF_StoCAN1,Needs Review,Add
NCT02076594,WF_StoCAN1,Needs Review,Add
NCT02112214,WF_StoCAN1,Needs Review,Add
NCT02130752,WF_StoCAN1,Needs Review,Add
NCT02139605,WF_StoCAN1,Needs Review,Add
NCT02174549,WF_StoCAN1,Needs Review,Add
NCT02185443,WF_StoCAN1,Needs Review,Add
NCT02191566,WF_StoCAN1,Needs Review,Add
NCT02193594,WF_StoCAN1,Needs Review,Add
NCT02197351,WF_StoCAN1,Needs Review,Add
NCT02205047,WF_StoCAN1,Needs Review,Add
NCT02209441,WF_StoCAN1,Needs Review,Add
NCT02213497,WF_StoCAN1,Needs Review,Add
NCT02216578,WF_StoCAN1,Needs Review,Add
NCT02219854,WF_StoCAN1,Needs Review,Add
NCT02260505,WF_StoCAN1,Needs Review,Add
NCT02279134,WF_StoCAN1,Needs Review,Add
NCT02299648,WF_StoCAN1,Needs Review,Add
NCT02301481,WF_StoCAN1,Needs Review,Add
NCT02313688,WF_StoCAN1,Needs Review,Add
NCT02325999,WF_StoCAN1,Needs Review,Add
NCT02347904,WF_StoCAN1,Needs Review,Add
NCT02349958,WF_StoCAN1,Needs Review,Add
NCT02350517,WF_StoCAN1,Needs Review,Add
NCT02356276,WF_StoCAN1,Needs Review,Add
NCT02359968,WF_StoCAN1,Needs Review,Add
NCT02365441,WF_StoCAN1,Needs Review,Add
